,Unnamed: 0,Name,Party,Color,MP,Twitter_id,Følgere,y,Tweet Count
0,0,Ida Auken,Socialdemokratiet (S),Red,Medlem af Folketinget,@IdaAuken,73.926,0,879
1,1,Trine Bramsen,Socialdemokratiet (S),Red,Medlem af Folketinget,@Trinebramsen,13.483,0,946
2,2,Bjørn Brandenborg,Socialdemokratiet (S),Red,Medlem af Folketinget,@BjBrandenborg,2.277,0,312
3,3,Jeppe Bruus,Socialdemokratiet (S),Red,Medlem af Folketinget,@JeppeBruus,4.066,0,592
4,4,Morten Bødskov,Socialdemokratiet (S),Red,Medlem af Folketinget,@mfMorten,15.324,0,2123
5,5,Kaare Dybvad Bek,Socialdemokratiet (S),Red,Medlem af Folketinget,@KaareDybvad,7.432,0,38
6,6,Benny Engelbrecht,Socialdemokratiet (S),Red,Medlem af Folketinget,@BennyEngelbrech,20.829,0,1160
7,7,Camilla Fabricius,Socialdemokratiet (S),Red,Medlem af Folketinget,@CamFabricius,2.147,0,663
8,8,Mette Gjerskov,Socialdemokratiet (S),Red,Medlem af Folketinget,@MetteGjerskov,12.388,0,1521
9,9,Karin Gaardsted,Socialdemokratiet (S),Red,Stedfortræder,@KarinGaardsted,None,0,107
10,10,Ane Halsboe-Jørgensen,Socialdemokratiet (S),Red,Medlem af Folketinget,@AneHalsboe,10.410,0,629
11,11,Orla Hav,Socialdemokratiet (S),Red,Medlem af Folketinget,@HavOrla,1.310,0,47
12,12,Magnus Heunicke,Socialdemokratiet (S),Red,Medlem af Folketinget,@Heunicke,60.605,0,1027
13,13,Peter Hummelgaard,Socialdemokratiet (S),Red,Medlem af Folketinget,@PHummelgaard,20.084,0,424
14,14,Nick Hækkerup,Socialdemokratiet (S),Red,Medlem af Folketinget,@Nickerup,1.209,0,0
15,15,Thomas Jensen,Socialdemokratiet (S),Red,Medlem af Folketinget,@MFThomasJensen,3.983,0,339
16,16,Leif Lahn Jensen,Socialdemokratiet (S),Red,Medlem af Folketinget,@LahnLeif,2.423,0,171
17,17,Mogens Jensen,Socialdemokratiet (S),Red,Medlem af Folketinget,@MogensJensenS,15.389,0,1424
18,18,Jens Joel,Socialdemokratiet (S),Red,Medlem af Folketinget,@Jens_Joel,7.535,0,690
19,19,Jan Johansen,Socialdemokratiet (S),Red,Medlem af Folketinget,@janjohansen16,277,0,0
20,0,Dan Jørgensen,Socialdemokratiet (S),Red,Medlem af Folketinget,@DanJoergensen,37.471,0,712
21,1,Kasper Sand Kjær,Socialdemokratiet (S),Red,Medlem af Folketinget,@SandKjaer,3.514,0,679
22,2,Simon Kollerup,Socialdemokratiet (S),Red,Medlem af Folketinget,@simonkollerup,8.965,0,726
23,3,Astrid Krag,Socialdemokratiet (S),Red,Medlem af Folketinget,@Astridkrag,21.375,0,1400
24,4,Anders Kronborg,Socialdemokratiet (S),Red,Medlem af Folketinget,@AndersKronborg,1.289,0,888
25,5,Rasmus Horn Langhoff,Socialdemokratiet (S),Red,Medlem af Folketinget,@rasmushorn,7.152,0,175
26,6,Malte Larsen,Socialdemokratiet (S),Red,Medlem af Folketinget,@MalteLarsen,530,0,115
27,7,Tanja Larsson,Socialdemokratiet (S),Red,Medlem af Folketinget,@LarssonTanja,273,0,31
28,8,Bjarne Laustsen,Socialdemokratiet (S),Red,Medlem af Folketinget,@Bjarne_Laustsen,404,0,0
29,9,Annette Lind,Socialdemokratiet (S),Red,Medlem af Folketinget,@annette_lind,1.844,0,65
30,10,Christian Rabjerg Madsen,Socialdemokratiet (S),Red,Medlem af Folketinget,@RabjergMadsen,None,0,748
31,11,Flemming Møller Mortensen,Socialdemokratiet (S),Red,Medlem af Folketinget,@FlemmingMM,2.685,0,55
32,12,Anne Paulin,Socialdemokratiet (S),Red,Medlem af Folketinget,@Paulin_Anne,1.861,0,418
33,13,Jesper Petersen,Socialdemokratiet (S),Red,Medlem af Folketinget,@Jesper_Pet,13.442,0,567
34,14,Rasmus Prehn,Socialdemokratiet (S),Red,Medlem af Folketinget,@RasmusPrehn,15.090,0,1520
35,15,Lars Aslan Rasmussen,Socialdemokratiet (S),Red,Medlem af Folketinget,@lars_aslan,198.345,0,1030
36,16,Troels Ravn,Socialdemokratiet (S),Red,Medlem af Folketinget,@RavnTroels,1.193,0,139
37,17,Pernille Rosenkrantz-Theil,Socialdemokratiet (S),Red,Medlem af Folketinget,@RosenkrantzT,None,0,816
38,18,Kasper Roug,Socialdemokratiet (S),Red,Medlem af Folketinget,@KasperRoug,None,0,29
39,19,Julie Skovsby,Socialdemokratiet (S),Red,Medlem af Folketinget,@JulieSkovsby,2.253,0,301
40,20,Rasmus Stoklund,Socialdemokratiet (S),Red,Medlem af Folketinget,@RStoklund,3.832,0,835
41,21,Mattias Tesfaye,Socialdemokratiet (S),Red,Medlem af Folketinget,@mattiastesfaye,30.231,0,676
42,22,Birgitte Vind,Socialdemokratiet (S),Red,Medlem af Folketinget,@birgitte_vind,961,0,459
43,23,Nicolai Wammen,Socialdemokratiet (S),Red,Medlem af Folketinget,@NWammen,6.982,0,506
44,24,Lea Wermelin,Socialdemokratiet (S),Red,Medlem af Folketinget,@LeaWermelin,7.389,0,548
45,25,Tommy Ahlers,Venstre (V),Blue,Medlem af Folketinget,@aahlers,25.521,1,391
46,26,Marlene Ambo-Rasmussen,Venstre (V),Blue,Medlem af Folketinget,@MarleneAmbo,966,1,157
47,27,Hans Andersen,Venstre (V),Blue,Medlem af Folketinget,@HansAndersenV,4.811,1,1205
48,28,Heidi Bank,Venstre (V),Blue,Medlem af Folketinget,@bankHeidi,807,1,93
49,29,Marie Bjerre,Venstre (V),Blue,Medlem af Folketinget,@marie_bjerre,1.673,1,134
50,0,Erling Bonnesen,Venstre (V),Blue,Medlem af Folketinget,@ErlingBonnesen,1.345,1,194
51,1,Morten Dahlin,Venstre (V),Blue,Medlem af Folketinget,@MortenDahlin,4.711,1,1279
52,2,Thomas Danielsen,Venstre (V),Blue,Medlem af Folketinget,@ThDanielsen,3.632,1,387
53,3,Louise Schack Elholm,Venstre (V),Blue,Medlem af Folketinget,@LouiseElholm,3.603,1,523
54,4,Karen Ellemann,Venstre (V),Blue,Medlem af Folketinget,@EllemannKaren,5.885,1,254
55,5,Jakob Ellemann-Jensen,Venstre (V),Blue,Medlem af Folketinget,@JakobEllemann,44.714,1,437
56,6,Mads  Fuglede,Venstre (V),Blue,Medlem af Folketinget,@madsfuglede,5.818,1,282
57,7,Martin Geertsen,Venstre (V),Blue,Medlem af Folketinget,@Martin_Geertsen,6.914,1,1253
58,8,Eva Kjer Hansen,Venstre (V),Blue,Medlem af Folketinget,@EvaKjerHansen,3.521,1,77
59,9,Jane Heitmann,Venstre (V),Blue,Medlem af Folketinget,@JaneHeitmann,4.815,1,1269
60,10,Anne Honoré Østergaard,Venstre (V),Blue,Medlem af Folketinget,@AnneStergaa,608,1,91
61,11,Bertel Haarder,Venstre (V),Blue,Medlem af Folketinget,@BHaarder,5.711,1,11
62,12,Jacob Jensen,Venstre (V),Blue,Medlem af Folketinget,@jacobjensenMF,4.462,1,458
63,13,Michael Aastrup Jensen,Venstre (V),Blue,Medlem af Folketinget,@michaelaastrup,6.834,1,1531
64,14,Peter Juel-Jensen,Venstre (V),Blue,Medlem af Folketinget,@PeterJuelJensen,1.171,1,12
65,15,Jan E. Jørgensen,Venstre (V),Blue,Medlem af Folketinget,@JanEJoergensen,17.444,1,441
66,16,Carsten Kissmeyer,Venstre (V),Blue,Medlem af Folketinget,@CKissmeyer,545,1,9
67,17,Stén Knuth,Venstre (V),Blue,Medlem af Folketinget,@Sten_Knuth,None,1,1401
68,18,Karsten Lauritzen,Venstre (V),Blue,Medlem af Folketinget,@StemLAURITZEN,15.936,1,1049
69,19,Lars Christian Lilleholt,Venstre (V),Blue,Medlem af Folketinget,@larsclilleholt,6.502,1,793
70,20,Kristian Pihl Lorentzen,Venstre (V),Blue,Medlem af Folketinget,@kplorentzen,None,1,326
71,21,Sophie Løhde,Venstre (V),Blue,Medlem af Folketinget,@sophieloehde,24.874,1,88
72,22,Anni Matthiesen,Venstre (V),Blue,Medlem af Folketinget,@AnniMatthiesen,3.142,1,652
73,23,Christoffer Aagaard Melson,Venstre (V),Blue,Medlem af Folketinget,@ChristofferMels,943,1,118
74,24,Ellen Trane Nørby,Venstre (V),Blue,Medlem af Folketinget,@EllenTraneNorby,27.129,1,246
75,25,Torsten Schack Pedersen,Venstre (V),Blue,Medlem af Folketinget,@Torstenschack,7.068,1,1064
76,26,Troels Lund Poulsen,Venstre (V),Blue,Medlem af Folketinget,@troelslundp,6.832,1,122
77,27,Hans Christian Schmidt,Venstre (V),Blue,Medlem af Folketinget,@HaChrSchmidt,618,1,2
78,28,Ulla Tørnæs,Venstre (V),Blue,Medlem af Folketinget,@Ulla_Tornaes,6.937,1,564
79,29,Kim Valentin,Venstre (V),Blue,Medlem af Folketinget,@kimvalentinDK,727,1,743
80,0,Fatma Øktem,Venstre (V),Blue,Medlem af Folketinget,@fatmaoektem,4.292,1,576
81,1,Karina Adsbøl,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@AdsbolAdsbl,2.885,1,1450
