,Name,Party,MP,Twitter_id,Følgere
0,Ida Auken,Socialdemokratiet (S),Medlem af Folketinget,@IdaAuken,73.926
1,Trine Bramsen,Socialdemokratiet (S),Medlem af Folketinget,@Trinebramsen,13.483
2,Bjørn Brandenborg,Socialdemokratiet (S),Medlem af Folketinget,@BjBrandenborg,2.277
3,Jeppe Bruus,Socialdemokratiet (S),Medlem af Folketinget,@JeppeBruus,4.066
4,Morten Bødskov,Socialdemokratiet (S),Medlem af Folketinget,@mfMorten,15.324
5,Lennart Damsbo-Andersen,Socialdemokratiet (S),Medlem af Folketinget,None,None
6,Kaare Dybvad Bek,Socialdemokratiet (S),Medlem af Folketinget,@KaareDybvad,None
7,Benny Engelbrecht,Socialdemokratiet (S),Medlem af Folketinget,@BennyEngelbrech,20.829
8,Camilla Fabricius,Socialdemokratiet (S),Medlem af Folketinget,@CamFabricius,2.147
9,Mette Frederiksen,Socialdemokratiet (S),Medlem af Folketinget,None,None
10,Mette Gjerskov,Socialdemokratiet (S),Medlem af Folketinget,@MetteGjerskov,12.388
11,Karin Gaardsted,Socialdemokratiet (S),Stedfortræder,@KarinGaardsted,None
12,Ane Halsboe-Jørgensen,Socialdemokratiet (S),Medlem af Folketinget,@AneHalsboe,None
13,Orla Hav,Socialdemokratiet (S),Medlem af Folketinget,@HavOrla,1.310
14,Magnus Heunicke,Socialdemokratiet (S),Medlem af Folketinget,@Heunicke,60.605
15,Peter Hummelgaard,Socialdemokratiet (S),Medlem af Folketinget,@PHummelgaard,20.084
16,Nick Hækkerup,Socialdemokratiet (S),Medlem af Folketinget,@Nickerup,1.209
17,Daniel Toft Jakobsen,Socialdemokratiet (S),Medlem af Folketinget,None,None
18,Thomas Jensen,Socialdemokratiet (S),Medlem af Folketinget,@MFThomasJensen,3.983
19,Leif Lahn Jensen,Socialdemokratiet (S),Medlem af Folketinget,@LahnLeif,2.423
20,Mogens Jensen,Socialdemokratiet (S),Medlem af Folketinget,@MogensJensenS,15.389
21,Jens Joel,Socialdemokratiet (S),Medlem af Folketinget,@Jens_Joel,7.535
22,Jan Johansen,Socialdemokratiet (S),Medlem af Folketinget,@janjohansen16,277
23,Dan Jørgensen,Socialdemokratiet (S),Medlem af Folketinget,@DanJoergensen,37.471
24,Kasper Sand Kjær,Socialdemokratiet (S),Medlem af Folketinget,@SandKjaer,3.514
25,Simon Kollerup,Socialdemokratiet (S),Medlem af Folketinget,@simonkollerup,8.965
26,Astrid Krag,Socialdemokratiet (S),Medlem af Folketinget,@Astridkrag,21.375
27,Henrik Dam Kristensen,Socialdemokratiet (S),Medlem af Folketinget,None,None
28,Anders Kronborg,Socialdemokratiet (S),Medlem af Folketinget,@AndersKronborg,1.289
29,Rasmus Horn Langhoff,Socialdemokratiet (S),Medlem af Folketinget,@rasmushorn,7.152
30,Malte Larsen,Socialdemokratiet (S),Medlem af Folketinget,@MalteLarsen,530
31,Tanja Larsson,Socialdemokratiet (S),Medlem af Folketinget,@LarssonTanja,273
32,Bjarne Laustsen,Socialdemokratiet (S),Medlem af Folketinget,@Bjarne_Laustsen,404
33,Annette Lind,Socialdemokratiet (S),Medlem af Folketinget,@annette_lind,1.844
34,Christian Rabjerg Madsen,Socialdemokratiet (S),Medlem af Folketinget,@RabjergMadsen,None
