,Name,Party,Color,MP,Twitter_id,Følgere,y,Tweet Count
0,Ida Auken,Socialdemokratiet (S),Red,Medlem af Folketinget,@IdaAuken,73.926,0,879
1,Trine Bramsen,Socialdemokratiet (S),Red,Medlem af Folketinget,@Trinebramsen,13.483,0,946
2,Bjørn Brandenborg,Socialdemokratiet (S),Red,Medlem af Folketinget,@BjBrandenborg,2.277,0,312
3,Jeppe Bruus,Socialdemokratiet (S),Red,Medlem af Folketinget,@JeppeBruus,4.066,0,592
4,Morten Bødskov,Socialdemokratiet (S),Red,Medlem af Folketinget,@mfMorten,15.324,0,2123
5,Kaare Dybvad Bek,Socialdemokratiet (S),Red,Medlem af Folketinget,@KaareDybvad,7.432,0,38
6,Benny Engelbrecht,Socialdemokratiet (S),Red,Medlem af Folketinget,@BennyEngelbrech,20.829,0,1160
7,Camilla Fabricius,Socialdemokratiet (S),Red,Medlem af Folketinget,@CamFabricius,2.147,0,663
8,Mette Gjerskov,Socialdemokratiet (S),Red,Medlem af Folketinget,@MetteGjerskov,12.388,0,1521
9,Karin Gaardsted,Socialdemokratiet (S),Red,Stedfortræder,@KarinGaardsted,None,0,107
10,Ane Halsboe-Jørgensen,Socialdemokratiet (S),Red,Medlem af Folketinget,@AneHalsboe,10.410,0,629
11,Orla Hav,Socialdemokratiet (S),Red,Medlem af Folketinget,@HavOrla,1.310,0,47
12,Magnus Heunicke,Socialdemokratiet (S),Red,Medlem af Folketinget,@Heunicke,60.605,0,1027
13,Peter Hummelgaard,Socialdemokratiet (S),Red,Medlem af Folketinget,@PHummelgaard,20.084,0,424
14,Nick Hækkerup,Socialdemokratiet (S),Red,Medlem af Folketinget,@Nickerup,1.209,0,0
15,Thomas Jensen,Socialdemokratiet (S),Red,Medlem af Folketinget,@MFThomasJensen,3.983,0,339
16,Leif Lahn Jensen,Socialdemokratiet (S),Red,Medlem af Folketinget,@LahnLeif,2.423,0,171
17,Mogens Jensen,Socialdemokratiet (S),Red,Medlem af Folketinget,@MogensJensenS,15.389,0,1424
18,Jens Joel,Socialdemokratiet (S),Red,Medlem af Folketinget,@Jens_Joel,7.535,0,690
19,Jan Johansen,Socialdemokratiet (S),Red,Medlem af Folketinget,@janjohansen16,277,0,0
