,Name,Party,Color,MP,Twitter_id,Følgere,y,Tweet Count
0,Fatma Øktem,Venstre (V),Blue,Medlem af Folketinget,@fatmaoektem,4.292,1,576
1,Karina Adsbøl,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@AdsbolAdsbl,2.885,1,1450
2,Lise Bech,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@LiseBech,None,1,2228
3,Liselott Blixt,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@Blixt22,6.843,1,424
4,Bent Bøgsted,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@BentGsted,136,1,6
5,Jens Henrik Thulesen Dahl,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@JThulesen,None,1,226
6,Kristian Thulesen Dahl,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@Kristianthdahl,16.827,1,636
7,Mette Hjermind Dencker,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@dfmehd_mette,1.120,1,181
8,Søren Espersen,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@espersendf,12.040,1,1199
9,Dennis Flydtkjær,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@flydtkjaer,3.282,1,296
10,Pia Kjærsgaard,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@Pia_Kjaersgaard,12.773,1,1033
11,Marie Krarup,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@MarieKrarup,4.924,1,818
12,Morten Messerschmidt,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@MrMesserschmidt,27.870,1,1585
13,Hans Kristian Skibby,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@Hans_Kr_Skibby,2.833,1,1133
14,Peter Skaarup,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@skaarup_df,14.146,1,2542
15,Kirsten Normann Andersen,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@KirstenNormann,4.042,0,1086
16,Lisbeth Bech-Nielsen,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@LisbethBNielsen,10.453,0,972
17,Anne Valentina Berthelsen,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@AnneValentina,1.786,0,149
18,Astrid Carøe,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@AstridCaroee,1.866,0,94
19,Karina Lorentzen Dehnhardt,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@MF_K_Lorentzen,None,0,943
20,Pia Olsen Dyhr,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@PiaOlsen,56.368,0,587
21,Karsten Hønge,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@khoenge,8.200,0,157
22,Jacob Mark,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@jacobmark_sf,15.498,0,688
23,Signe Munk,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@signe_munk,4.542,0,705
24,Charlotte Broman Mølbæk,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@charlottebroman,None,0,376
25,Rasmus Nordqvist,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@rasmusnordqvist,None,0,790
26,Halime Oguz,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@Halime9Oguz,761,0,17
27,Trine Torp,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@TrineTorp,3.803,0,642
28,Carl Valentin,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@Carl__Valentin,4.072,0,1080
29,Anne Sophie Callesen,Radikale Venstre (RV),Red,Medlem af Folketinget,@FrkCallesen,1.625,0,250
