,Date,Name,Tweet Processed,Language
0,2021-06-23 14:20:48,Ida Auken,"['grinet', 'flere', 'dage', 'så', 'får', 'passer', 'desværre', 'midt', 'godt', 'moderne', 'menneskes', 'natursyn']",da
1,2021-06-12 17:31:49,Ida Auken,"['uefa', 'meddeler', 'eriksen', 'stabiliseret', 'hurra', '#em2021']",no
2,2021-06-12 17:26:59,Ida Auken,"['sandt', '#em2020']",da
3,2021-06-09 08:36:50,Ida Auken,"['svært', 'åbenhjertig', 'ovor', 'så', 'skøn', 'samtalepartner', 'flemming', 'møldrup', 'lyt', '#dkpol', '#dkgreen', '#stress', 'heartbeatsdk', 'fmpldrup']",da
4,2021-06-06 12:18:23,Ida Auken,['tillykke'],da
5,2021-06-03 08:24:02,Ida Auken,"['skrevet', 'lidt', 'område', 'virkelig', 'halter', 'bagud', 'fht', 'klima', 'nemlig', 'modebranchen']",da
6,2021-06-02 07:38:40,Ida Auken,"['lidt', 'år', 'taget', 'beslutninger', 'bringer', 'halvdelen', 'vejen', '70', 'klimamålet', 'mette', 'frederiksen', 'erklærer', 'dag', 'hockeystaven', 'knækket', 'glad', '#dkpol', '#dkgreen', '#ftlive']",da
7,2021-05-26 09:54:50,Ida Auken,"['endnu', 'set', 'dokumentaren', '7030', 'klimalovens', 'tilblivelse', 'filmen', 'rummer', 'nærgående', 'billede', 'politik', 'indefra', 'viser', 'samspillet', 'mellem', 'aktivisme', 'politik', 'kan', 'streame', 'eksklusivt', 'politiken', '#dkpol', '#dkgreen']",da
8,2021-05-26 07:41:13,Ida Auken,"['getting', 'ready', 'talk', 'about', '#climate', 'and', 'space', 'data', 'with', 'friendsofeurope', '10', 'pm', 'cet', 'join', 'us']",en
9,2021-05-25 09:45:06,Ida Auken,"['what', 'a', 'brilliant', 'idea', 'tomhfh', 'oh', 'wait', 'wouldnt', 'that', 'mean', 'that', 'russia', 'would', 'win', '#eurovision', 'every', 'year']",en
10,2021-05-24 19:34:25,Ida Auken,"['ren', 'luft', 'byen', 'vigtigt', 'skub', 'elbilerne', 'glæder', 'udspillet', 'kommer', '#dkpol', '#dkgreen']",da
11,2021-05-24 19:32:35,Ida Auken,"['a', 'better', 'suggestion', 'how', 'about', 'not', 'choosing', 'such', 'a', 'shitty', 'song', 'next', 'time', 'nigel_farage', '#eurovision']",en
12,2021-04-29 12:31:01,Ida Auken,"['fantastisk', 'inspirerende', 'møde', '#klimaborgertinget', 'danskere', 'uden', 'forudgående', 'klimaekspertise', 'giver', 'gode', 'råd', 'klimaindsatsen', 'hovedbudskabet', 'befolkningen', 'klar', 'gerne', 'inddrages', 'vide', 'mere', '#dkpol', '#dkgreen', 'teknologiraadet']",da
13,2021-04-22 19:50:36,Ida Auken,"['kender', 'følelsen', 'livet', 'forsvinder', 'mellem', 'hænderne', 'travlt', 'tak', 'hilsnerne', '73års', 'fødselsdag']",da
14,2021-04-22 15:52:54,Ida Auken,"['glæder', 'ørsted', 'går', 'kampen', 'bygge', 'bedste', 'mest', 'økonomisk', 'ansvarlige', 'energiø', '#dkpol', '#dkgreen']",da
15,2021-04-22 15:52:04,Ida Auken,"['3', 'nye', 'naturnationalparker', 'tillykke', 'danmark', 'naturen', 'flot', 'arbejde', 'leawermelin', 'mettegjerskov', 'zeniastampe', 'mfl', '#dkpol', '#dkgreen']",da
16,2021-04-22 08:44:18,Ida Auken,"['this', 'is', 'brilliant', 'bye', 'bye', '#superleague']",en
17,2021-04-22 08:20:47,Ida Auken,"['stemmeret', 'p', 'synes', 'stemme', 'katrine', 'ehnhuus', 'klkmabevægelsrn', 'vigtigt', 'pensionskassen', 'forlader', 'grønne', 'linje', 'andre', 'kandidater', 'ønsker', 'klimabev', 'klimabevaegelse', '#dkpol', '#klima', '#dkgreen', 'læs', 'mere']",da
18,2021-04-22 08:04:04,Ida Auken,"['kom', 'lige', 'tanke', 'drømte', 'nat', 'flirt', 'michael', 'j', 'fox', 'så', 'ved', 'bare', 'fylder', '43', 'tak', 'fødselsdagshilsenerne']",da
19,2021-04-21 15:31:15,Ida Auken,"['så', 'aften', 'premiere', '7030', 'filmet', 'bag', 'linjerne', 'klimaloven', 'se', 'cphdox', 'kl', '19', 'læs', 'anmeldelsen']",da
20,2021-04-16 07:17:08,Ida Auken,"['kandidat', 'altså', 'boede', 'kbh', 'stemme', 'sophiehandersen', 'virkelig', 'godt', 'visionært', 'udspil', '#dkpol', '#dkgreen']",da
21,2021-04-04 14:49:51,Ida Auken,"['vildt', 'k_asgreen', 'bravo']",da
22,2021-03-29 11:29:40,Ida Auken,"['vild', 'henriks', 'tilgang', 'kender', 'gamle', 'dage', 'lyt', '#dlpol', '#dkgreen']",da
23,2021-03-24 09:22:15,Ida Auken,"['can', 'data', 'and', 'ai', 'transform', 'our', 'food', 'systems', 'and', 'do', 'good', 'people', 'and', 'planet', 'join', 'us', 'this', 'digital', 'event', 'as', 'part', 'of', 'world', 'food', 'summit', 'where', 'will', 'give', 'my', 'view', 'on', 'the', 'benefits', 'the', 'climate', '#dkpol', '#dkgreen', '#sirikom', '#worldfoodsummit', 'rasmusprehn']",en
24,2021-03-22 15:07:31,Ida Auken,"['tak', 'bidrag', 'høring', '#powertox', 'nippermads', 'stramme', 'tempoet', 'forhold', 'energiøer', 'hvilke', 'flagskibsprojekter', 'pege', 'velvidende', 'orsteddk', 'aktør', '#dkgreen', '#dkpol']",da
25,2021-03-19 09:14:26,Ida Auken,"['optaget', 'klima', 'uddannelse', 'øjeblikket', 'hvordan', 'får', 'skoleskemaet', 'steder', 'samtidig', 'sikrer', 'eleverne', 'del', 'grønne', 'handlinger', '#dkpol', '#dkgreen', 'tak', 'inspiration', 'phie', 'ambo', 'dorthejunge', 'tudvad', 'concito', '#teachersforfuture']",da
26,2021-03-18 13:38:37,Ida Auken,"['solceller', 'brager', 'frem', 'kan', 'let', 'konkurrere', 'andre', 'energiformer', 'altid', 'stærkest', 'klima', 'økonomi', 'spiller', 'sammen', '#dkpol', '#dkgreen']",da
27,2021-03-15 12:53:33,Ida Auken,"['super', 'møde', 'grønne', 'studenterbevægelse', 'krav', 'landbrugsforhandl', 'så', 'langt', 'hinanden', 'visioner', 'stadig', 'finde', 'hvordan', 'kommer', 'mål', 'uden', 'tabe', 'befolkningens', 'opbakning', 'arbejdspladser', 'anderskronborg', 'dengroennestud', '#dkpol', '#dkgreen']",da
28,2021-03-11 07:54:03,Ida Auken,"['morsomt', 'verdensomspændende', 'pandemi', 'kan', 'stoppe', 'hovedløs', 'demonstration', 'kan', 'lidt', 'regn', 'åbenbart', '#dkpol', '#covid19dk']",da
29,2021-03-11 06:57:16,Ida Auken,"['vejrguderne', 'besked', 'synes', 'gå', 'gaderne', 'københavn', 'nedlukningen', 'dag', '#dkpol', '#covid19dk']",da
30,2021-03-10 10:05:03,Ida Auken,"['stort', 'tillykke', 'velkommen', 'young', 'global', 'leader', 'leawermelin', 'glæder', 'byde', 'velkommen', 'arbejde', 'internationalt', 'klima', 'miljø', 'yglvoices', 'wef', '#dkpol', '#dkgreen']",da
31,2021-03-10 10:03:28,Ida Auken,['sjovt'],da
32,2021-03-08 20:38:49,Ida Auken,"['thanks', 'nice', 'company', 'to', 'be', 'included', 'in', '#kvindernesinternationalekampdag']",en
33,2021-03-08 20:09:34,Ida Auken,"['washington', 'post', 'bad', 'skrive', 'lidt', 'danske', 'model', 'aoc', 'tweetede', 'lønningerne', 'danske', 'mcdonalds', 'rummet', 'fin', 'historie', 'kollega', 'lahnleif', '#dkpol', 'washingtonpost', 'spolitik', 'dsu', '_1920']",da
34,2021-03-03 15:50:32,Ida Auken,"['cirka', 'københavn', 'by', 'liv', 'natteliv', 'tak', 'sophiehandersen', 'sige', 'så', 'klart', '#dkpol', 'spolitik']",da
35,2021-03-01 10:27:22,Ida Auken,"['3', 'imrans', 'popup', 'clubtalk', 'gæst', 'ida', 'auken']",da
36,2021-02-28 16:58:09,Ida Auken,"['clubtalk', 'drimranrashid', 'inviteret', 'ida', 'auken', 'snak', 'livet', 'politiker', 'stress', 'coronakrisen', 'nedlukket', 'danmark', 'techgiganterne', 'fremtiden']",da
37,2021-02-28 11:23:31,Ida Auken,"['nå', 'så', 'får', 'debut', 'clubhouse', 'morgen', 'kl', '1130', 'snak', 'drimranrashid', 'teknologi', 'politik', 'imrans', 'popup', 'clubtalk']",da
38,2021-02-26 15:50:04,Ida Auken,"['klap', 'skulderen', 'vores', 'klimaindsats', 'rart', 'få', 'dag']",da
39,2021-02-26 13:00:26,Ida Auken,"['nå', 'så', 'melder', 'hold', 'klar', 'msaebye', '#dkpol']",da
40,2021-02-26 12:57:20,Ida Auken,"['kære', 'drnyheder', 'mærkelig', 'overskrift', 'klimaraadet', 'eksplicit', 'skriver', 'rapporten', 's', '7', 'tale', 'karaktergivning', 'regeringen', 'hvordan', 'kan', 'så', 'dumpe', '#dkpol']",da
41,2021-02-26 12:52:22,Ida Auken,"['læst', 'rapporten', 'står', 'side', '7', 'derfor', 'ses', 'karakterbedømmelse', 'langt', 'regeringen', 'rimelighed', 'burde', 'nået', 'parlamentarisk', 'praktisk', 'ét', 'år', 'hvordan', 'kan', 'så', 'dumpet', '#dkpol', '#dkgreen']",da
42,2021-02-25 17:00:02,Ida Auken,"['helt', 'enig', 'professoren', 'danmark', 'passe', 'overhalet', 'produkter', 'udkonkurrerer', 'vores', 'landbrug', 'brug', 'nytænkning', '#dkpol', '#dkgreen']",da
43,2021-02-24 20:06:12,Ida Auken,"['tak', 'socialdemokratiet', 'frederiksberg', 'opstillingen', 'nye', 'folketingskandidat', 'københavns', 'storkreds', 'ser', 'frem', 'skabe', 'grønne', 'resultater', 'baglandet', 'hovedstaden', 'så', 'næste', 'borgmester', '#frederiksberg', 'go', 'michael', 'vindfeldt', '#dkpol']",da
44,2021-02-23 07:16:53,Ida Auken,"['så', 'kan', 'vist', 'holdes', 'hemmeligt', 'længere', 'glæder', 'helt', 'vildt', 'føre', 'valgkamp', 'frederiksberg', 'københavn', 'mvindfeldt', 'sophiehandersen', 'rosenkrantzt', 'phummelgaard', 'jeppekofod', 'lars_aslan', '#dkpol', '#dkgreen']",da
45,2021-02-10 12:52:25,Ida Auken,"['stort', 'tillykke', 'enhedslisten', 'valget', 'maivilladsen', 'politisk', 'ordfører', 'mai', 'klogt', 'sødt', 'menneske', 'fornøjelse', 'arbejde', 'sammen', 'klimaområdet', 'ser', 'frem', 'arbejde', 'sammen', 'store', 'grønne', 'omstilling', 'igennem', '#dkpol', '#dkgreen']",da
46,2021-02-05 14:08:05,Ida Auken,"['look', 'this', 'bobmass', 'remember', 'when', 'told', 'the', 'people', 'in', 'the', 'senate', 'about', 'this', 'wild', 'idea', 'in', '2017', 'coming', 'to', 'life', 'now', '#dkpol', '#dkgreen', '#climate']",en
47,2021-02-04 12:33:57,Ida Auken,"['politik', 'betaler', 'dag', 'gammel', 'drøm', 'gået', 'opfyldelse', 'danmark', 'får', 'verdens', 'første', 'vindøer', 'strøm', 'sigt', '10', 'mio', 'mennesker', 'vigtig', 'opbakning', 'dansk', 'erhvervsliv', 'fagbevægelse', 'investorer', '#dkpol', '#dkgreen']",da
48,2020-03-09 16:28:54,Ida Auken,"['glæder', 'få', 'svar', 'spørgsmål', 'ang', 'olieprisscenarier', 'danjoergensen', '#dkpol', '#dkgreen']",da
49,2020-03-09 16:25:00,Ida Auken,"['klimaordførerne', 'går', 'gengæld', 'foran', 'angår', 'ligestillingen', 'maivilladsen', 'signe_munk', 'metteabildgaard', 'paulin_anne', '#dkpol', '#dkgreen']",da
50,2020-03-09 14:33:28,Ida Auken,"['klimarådet', 'vist', 'vejen', 'så', 'bare', 'afsted', '#dkpol', '#dkgreen']",da
51,2020-03-08 20:37:30,Ida Auken,"['siger', 'klimaforandringerne', 'virus', 'løst', 'problemet', 'længe', 'siden', '#dkpol', '#dkgreen']",da
52,2020-03-05 18:36:23,Ida Auken,"['gode', 'nyheder', 'klimaet', 'forhåbentlig', 'landbruget', 'godt', 'træk', 'arladanmark', '#dkpol', '#dkgreen']",da
53,2020-03-05 18:35:29,Ida Auken,"['endnu', 'god', 'grund', 'putte', 'flere', 'skatteborgernes', 'penge', 'hente', 'olie', 'nordsøen', '#dkpol', '#dkgreen']",da
54,2020-03-05 10:30:55,Ida Auken,"['my', 'daughters', 'should', 'see', 'this', 'member', 'of', 'timmermanseu', 'cabinet', 'with', 'three', 'daughters', 'impressed', 'by', 'the', 'danish', 'all', 'female', 'delegation', 'to', 'bruxelles', 'here', 'to', 'discuss', '#climatelaw', '#europeangreendeal', '#dkpol', '#dkgreen']",en
55,2020-03-05 06:20:02,Ida Auken,"['kan', 'godt', 'klopp', 'ekspert', 'coronavirus', 'klog', 'mand', 'se', 'legendariske', 'klip', '#dkpol']",no
56,2020-03-01 14:02:37,Ida Auken,"['gerne', 'vide', 'finansverden', 'flytter', 'klimaet', 'øjeblikket', 'trænger', 'lidt', 'opmuntring', 'så', 'lyt', 'udsendelse', 'uger', 'gammel', 'virkelig', 'god']",da
57,2020-03-01 12:04:34,Ida Auken,"['hej', 'bo', 'kan', 'tro', 'løsninger', 'fly', 'importeret', 'co2', 'bla', 'co2afgift', 'fly', 'klimatold', 'eu', 'andet', '#dkgreen', '#dkpol', 'boasmusk']",da
