,Date,Name,Tweet Processed,Language
0,2021-04-09 10:50:03,Niels Flemming Hansen,"['våd', 'drøm', 'tørskoet', 'forbindelse', 'regeringen', 'endelig', 'forstået', 'vigtigheden', 'alsfyn', 'forbindelse', 'konservative', 'samarbejde', 'v', 'kæmpet', 'år', '#dkpol']",da
1,2021-03-26 05:55:05,Niels Flemming Hansen,"['regeringen', 'pålægges', 'sikre', 'udsendte', 'danskere', 'fremrykkes', 'videst', 'muligt', 'grad', 'ift', 'vaccinationskalenderen', 'således', 'udsendte', 'soldater', 'sikret', 'mulighed', 'vaccination', 'inden', 'sendes', 'mission', 'sendt', 'epidemiudvalget', 'igår']",da
2,2021-03-16 07:57:22,Niels Flemming Hansen,"['lige', 'slået', 'billede', 'christiansborg', 'palace']",da
3,2021-02-03 06:41:01,Niels Flemming Hansen,"['selvfølgelig', 'privilegie', 'få', 'dansk', 'pas']",da
4,2021-01-27 11:58:31,Niels Flemming Hansen,"['måde', 'regeringen', 'dan', 'jørgensen', 'behandler', 'vores', 'detailhandel', 'gå', 'banken', 'luk', 'butikken']",da
5,2020-09-28 15:34:55,Niels Flemming Hansen,"['obligatorisk', 'mundbind', 'lægen', 'konservativedk', 'sagt', 'lang', 'tid', 'giver', 'mening', 'mundbindet', 'bussen', 'sidder', 'venteværelset', 'andre', 'syge', 'mennesker', 'glad', 'sstsundhed', 'bakker', '#dkpol', '#sundpol']",da
6,2020-09-24 14:43:49,Niels Flemming Hansen,"['god', 'internationalt', 'sammenarbejdende', 'forsvarsefterretningstjeneste', 'ekstremt', 'vigtigt', 'danmark', 'italesættes', 'forsvaretdk', '#dkpol']",da
7,2020-03-17 05:55:27,Niels Flemming Hansen,"['detailhandler', 'politiker', 'spørger', 'hjælper', 'udskyde', 'momsen', 'sælger']",da
8,2020-01-14 05:47:28,Niels Flemming Hansen,"['simpelthen', 'utroligt', 'vores', 'kronprins', 'kan', 'middag', 'private', 'venner']",da
9,2019-10-01 10:17:33,Niels Flemming Hansen,"['så', 'fik', 'mette', 'frederiksen', 'lige', 'nævnt', 'nye', 'regering', 'ruller', 'skattelettelser', 'tilbage', 'dkpol', 'tvsyd', 'tv2newsdk']",da
10,2019-09-07 08:37:19,Niels Flemming Hansen,"['debat', 'brug', 'investeringer', 'transportområdet']",da
11,2019-08-21 18:52:33,Niels Flemming Hansen,"['spændene', 'møde', 'transportministeren', 'aften', 'tyder', 'langsigtede', 'brede', 'forlig', 'konservativedk', 'helst', '#dkpol']",da
12,2019-07-28 15:37:00,Niels Flemming Hansen,"['større', 'sidder', 'danske', 'hus', 'champselysées', 'vente', 'afslutningen', 'le', 'tour', 'france']",da
13,2019-05-08 04:41:39,Niels Flemming Hansen,"['så', 'starter', 'dag', 'valgkampen', 'dag', 'super', 'spændene', 'lang', 'kl', '7', 'starter', 'møde', 'vaf', 'god', 'dag']",da
14,2018-11-21 13:11:51,Niels Flemming Hansen,"['stolt', 'detailhandler', 'konservativ', 'hilser', 'stramningerne', 'overfor', 'kriminelle', 'tyvebander', 'velkommen', '#tvsyd', '#dkpol', '#tv2', '#dr']",da
15,2018-11-05 15:13:35,Niels Flemming Hansen,"['tide', 'indførte', 'dis', 'beskatning', 'transport', 'området', 'så', 'få', 'danske', 'chaufførere', 'danske', 'biler']",da
16,2018-11-04 17:23:12,Niels Flemming Hansen,"['nye', 'borgerlige', 'problem', 'danskerne', 'kommer', 'aldrig', 'andet', 'lille', 'novelle', 'parti', 'trænger', 'medierne', 'dækker', 'gamle', 'partier', 'v', 'k', 's', 'r', 'kan', 'skrive', 'roman', 'novelle', 'partier', '#presselogen']",da
17,2018-10-27 08:01:58,Niels Flemming Hansen,"['hermed', 'indlæg', 'dagens', 'politiken', 'tvsyd', 'dkpol_net', 'syddr', 'wwwjvdk', 'vafodk']",da
18,2018-04-25 14:27:34,Niels Flemming Hansen,"['så', 'snart', 'borgerforslag', 'klar', 'st', 'få', 'højspænding', 'skoler', 'gravet', 'jorden', 'vafodk', 'wwwjvdk', 'konservativedk', 'dkpolitik', 'tv2politik']",da
19,2018-04-05 14:57:10,Niels Flemming Hansen,"['konservativedk', 'bedre', 'folkeskole', '#dkpol', '#jvdk', 'tvsyd']",da
20,2018-03-04 10:44:19,Niels Flemming Hansen,"['konservativedk', 'besluttet', 'vedtagelse', 'alssundbro', 'inden', '2022', '#dkpol', '#jvdk', 'tvsyd']",da
21,2018-02-26 14:03:40,Niels Flemming Hansen,"['forundret', 'debatten', 'vedr', 'højere', 'straffe', 'kriminalitet', 'getto', 'områder', 'får', 'højere', 'straf', 'køre', 'stærkt', 'vejarbejde', '#dkpol']",da
22,2018-01-13 10:08:30,Niels Flemming Hansen,"['netshopping', 'prisen', 'nem', 'hverdag', 'tomme', 'butikker', 'kapital', 'ryger', 'landet']",da
23,2016-09-26 19:42:00,Niels Flemming Hansen,[],da
24,2016-09-25 07:20:58,Niels Flemming Hansen,[],und
25,2014-06-11 20:59:21,Niels Flemming Hansen,"['udvider', 'staben', 'derfor', 'hyrer', 'flere', 'byer', 'lad', 'høre']",da
26,2014-03-26 18:52:27,Niels Flemming Hansen,"['httptcouzerpavni', '0']",und
27,2013-11-11 18:37:33,Niels Flemming Hansen,"['stem', 'holst', 'sko', 'årets', 'butik', 'httptcoafingtu', '1na']",da
28,2012-11-28 05:57:28,Niels Flemming Hansen,"['lad', 'endelig', 'følge', 'usa', 'igen', 'få', 'recession', 'forsvinde', 'httptcogivohfwo']",da
29,2021-08-16 19:50:49,Rasmus Jarlov,"['dansk', 'twitter', 'mest', 'udbredte', 'mening', 'biden', 'gør', 'fantastisk', 'fejlet', 'verdens', 'mægtigste', 'hær', 'gang', 'magtet', 'evakuere', 'egen', 'ambassade', 'ordentligt', 'tale', 'andre', 'burde', 'evakueres']",da
30,2021-08-15 13:14:28,Rasmus Jarlov,"['gå', 'totale', 'ydmygelse', 'svigt', 'nederlag', 'vesten', 'hele', 'vesten', 'ydmyges', 'flok', 'barbarer', 'pickup', 'trucks', 'bidens', 'vagt', 'aldrig', 'set', 'så', 'pinligt', 'amerikansk', 'præsident']",da
31,2021-08-14 22:01:36,Rasmus Jarlov,"['folk', 'hælder', 'skidtspand', 'andre', 'bagefter', 'ondt', 'gengivet', 'lone', 'ludvig', 'skrev', 'bla', 'står', 'dødsstraf', 'forsøgt', 'klage', 'folketinget', 'tweetede', 'besked', 'får']",da
32,2021-08-13 15:53:46,Rasmus Jarlov,"['fleste', 'mennesker', 'kritiserer', 'vesten', 'lade', 'afghanistan', 'falde', 'taliban', 'samme', 'mennesker', 'sidste', 'to', 'årtier', 'kritiseret', 'vesten', 'afghanistan', 'forhindre', 'præcis', 'sent', 'komme', 'fornuft']",da
