FID,DATAEJER,VEJBESTYRER,VEJNR,VEJDEL,VEJNAVN,KILOMETER,METER,LOKATION,KOMMUNE,AAR,AADT,TIMEANTAL07_19_MOTORKTJ,TIMEANTAL19_22_MOTORKTJ,TIMEANTAL22_07_MOTORKTJ,GNSHAST07_19_MOTORKTJ,GNSHAST19_22_MOTORKTJ,GNSHAST22_07_MOTORKTJ,TIMEANTAL07_19_0_580,TIMEANTAL19_22_0_580,TIMEANTAL22_07_0_580,GNSHAST07_19_0_580,GNSHAST19_22_0_580,GNSHAST22_07_0_580,TIMEANTAL07_19_580_1250,TIMEANTAL19_22_580_1250,TIMEANTAL22_07_580_1250,GNSHAST07_19_580_1250,GNSHAST19_22_580_1250,GNSHAST22_07_580_1250,TIMEANTAL07_19_O_1250,TIMEANTAL19_22_O_1250,TIMEANTAL22_07_O_1250,GNSHAST07_19_O_1250,GNSHAST19_22_O_1250,GNSHAST22_07_O_1250,KOOR_SDO
OPEN_DATA_STOEJDATA_VIEW.fid-1b2ea090_17b300fac60_5891,316,316,3161633,0,"Søstrupvej, 4300 Holbæk",1,830,Søstrupvej ca. 170 m fra nr. 19,316,2019,2720,192,79,19,59.9,61.6,62,187,79,19,60.3,61.8,62.6,4,1,0,54.5,54.9,53.8,,,,50,,50.7,POINT (666785.000156862 6174846.999745046)
OPEN_DATA_STOEJDATA_VIEW.fid-1b2ea090_17b300fac60_5892,316,316,300602,0,Slagelse-Snertinge,26,640,Ved Bromøllekro,316,2019,4765,300,129,87,58.3,60.3,62.5,282,125,82,58.4,60.4,62.6,10,4,3,56.3,57.7,60.7,7,2,3,57,55.5,61,POINT (650362.0000756377 6165480.999744786)
OPEN_DATA_STOEJDATA_VIEW.fid-1b2ea090_17b300fac60_5893,316,316,300143,0,Elverdam-Ugerløse,7,420,Øst for 187,316,2019,2605,169,85,36,42,42.1,44.5,160,83,34,42.4,42.4,45,6,2,1,38.6,37.7,40.8,2,1,1,38.7,39,39.6,POINT (670888.0001829426 6165623.99974541)
OPEN_DATA_STOEJDATA_VIEW.fid-1b2ea090_17b300fac60_5894,316,316,300143,0,Elverdam-Ugerløse,1,656,Udfor P-Lomme,316,2019,3012,194,100,43,77.4,78.4,80.9,189,100,42,77.8,78.6,81.1,3,1,1,71.4,73.9,78.2,1,0,0,66.2,77.4,74.1,POINT (675622.0002217382 6167384.999745732)
OPEN_DATA_STOEJDATA_VIEW.fid-1b2ea090_17b300fac60_5895,316,316,300143,0,Elverdam-Ugerløse,11,100,Øst for 346,316,2019,2087,134,68,30,63.7,65.8,68,127,67,28,64.2,66.4,69,4,1,1,59.3,60.1,60,2,2,1,57.4,55.4,58.7,POINT (668085.0001626374 6163678.9997452805)
OPEN_DATA_STOEJDATA_VIEW.fid-1b2ea090_17b300fac60_5896,165,165,1650322,0,Malervangen,0,30,Malervangen 1,165,2021,299,19,7,5,25.8,29.5,27.1,15,6,5,25.8,29.5,27.3,,,,27,,22.5,,,,22.5,,22.5,POINT (713425.0008725364 6175150.9997558305)
OPEN_DATA_STOEJDATA_VIEW.fid-1b2ea090_17b300fac60_5897,575,575,5696587,0,Skovbrynet,0,60,Glejbjerg,575,2018,71,5,1,1,29.4,31.5,29.7,3,1,1,,,,1,0,0,,,,,,,,,,POINT (488761.99999987386 6156758.999745253)
OPEN_DATA_STOEJDATA_VIEW.fid-1b2ea090_17b300fac60_5898,575,575,5594175,0,Langeskovvej,0,680,Langeskov,575,2018,140,9,3,2,56.2,56.3,59.1,8,4,2,,,,1,0,0,,,,,,,,,,POINT (501623.00000001845 6146876.999745432)
OPEN_DATA_STOEJDATA_VIEW.fid-1b2ea090_17b300fac60_5899,630,630,6300062,0,Amhøjvej,0,18,Amhøjvej øst for Skovgade,630,2019,1225,84,40,11,25.1,24.8,26.2,80,39,11,25.3,25,26.4,3,2,0,21.2,19.8,20.8,,,,20.7,17.5,14.3,POINT (526702.0000003006 6178809.999744851)
OPEN_DATA_STOEJDATA_VIEW.fid-1b2ea090_17b300fac60_589a,615,615,6095454,0,Præstehøj,0,128,Præstehøj 9 Gedved,615,2018,285,20,10,2,30.4,28.7,30.4,19,9,2,30.4,28.8,30.4,1,0,0,29,23.9,28.8,,,,26.8,,,POINT (553195.0000006554 6198446.9997444805)
